title,my_rating
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",5
The Martian,5
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",5
Going Solo,5
Flatland: A Romance of Many Dimensions,5
"Gödel, Escher, Bach: An Eternal Golden Braid",5
The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,5
Gut: The Inside Story of Our Body's Most Underrated Organ,5
Brave New World,4
"The Three-Body Problem (Remembrance of Earth's Past, #1)",2
"The Dark Forest (Remembrance of Earth's Past, #2)",2
The Remains of the Day,5
The Pursuit of Happyness,5
Animal Farm,5
1984,5
Norwegian Wood,5
"Three Men in a Boat (Three Men, #1)",5
Lord of the Flies,3
Buddenbrooks: The Decline of a Family,1
To Kill a Mockingbird,5
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",3
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",3
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",3
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",3
Perfume: The Story of a Murderer,1
Sapiens: A Brief History of Humankind,5
The Circle,1
The Reader,2
Cloud Atlas,5
A Briefer History of Time,5
The Grand Design,4
The Universe in a Nutshell,4
All Quiet on the Western Front,5
"Inferno (Robert Langdon, #4)",3
"The Da Vinci Code (Robert Langdon, #2)",4
I Am Legend,5
Catch Me If You Can: The True Story of a Real Fake,4
Memoirs of a Geisha,5
A Fine Balance,5
Man's Search for Meaning,5
Dune (Dune Chronicles #1),4
The Kite Runner,5
Kon-Tiki: Across The Pacific In A Raft,5
Seven Years in Tibet,5
The Diary of a Young Girl,5
The Alchemist,5
Siddhartha,5
The Glass Bead Game,4
Demian. Die Geschichte von Emil Sinclairs Jugend,5
Steppenwolf,4
Quo Vadis,5
P.S. I Love You,4
"The Pillars of the Earth (The Kingsbridge Series, #1)",4
Eye of the Needle,4
"Eragon (The Inheritance Cycle, #1)",4
Wild Swans: Three Daughters of China,5
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,5
